ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
526826,2007CA27,0.865647288,0.343666262,29.9719522,21.3,NaN,NaN,NaN,-0.006314108,0.001940812,NaN,NaN,NaN,D,3.253333333
37655,Illapa,1.477699446,0.7526713,18.0225122,17.8,NaN,NaN,NaN,-0.001167,0.00036,2.6556,NaN,8,A,3.241666667
3200,Phaethon,1.271367884,0.889831121,22.25951171,14.3,NaN,6.25,0.15,-0.000901,0.00028,3.604,NaN,8,A,3.217857143
477719,2010SG15,2.079503636,0.476289969,0.827539383,25.2,NaN,NaN,NaN,-0.009057,0.002843,NaN,NaN,NaN,B,3.185719311
37655,Illapa,1.477699446,0.7526713,18.0225122,17.8,NaN,NaN,NaN,-0.001081,0.000343,2.6556,NaN,8,B,3.151603499
267759,2003MC7,1.373771248,0.184322178,21.21162744,18.9,NaN,NaN,NaN,-0.001097,0.000351,NaN,NaN,NaN,B,3.125356125
252399,2001TX44,0.874751114,0.545900953,15.20983287,19.4,NaN,0.291,0.069,-0.00368,0.00118,NaN,NaN,NaN,A,3.118644068
NaN,2003FF5,1.369691097,0.303942431,6.33777795,23.3,NaN,0.074090857,NaN,-0.00285045,0.000915502,NaN,NaN,NaN,D,3.113537118
310842,2003AK18,0.876828106,0.384152889,7.403322491,19.7,NaN,NaN,NaN,-0.001829,0.00059,5.3,NaN,5,A,3.1
376879,2001WW1,1.210251628,0.121778268,21.74072514,22.2,NaN,NaN,NaN,-0.002272572,0.000740545,NaN,NaN,NaN,D,3.068783069
310842,2003AK18,0.876828106,0.384152889,7.403322491,19.7,NaN,NaN,NaN,-0.001783,0.000582,5.3,NaN,5,B,3.063573883
152671,1998HL3,1.128844343,0.36596219,2.679578674,20.1,NaN,0.298,0.007,-0.002568,0.000849,NaN,NaN,NaN,B,3.024734982
162783,2000YJ11,1.312940921,0.231885347,7.26321217,20.7,NaN,NaN,NaN,-0.004985,0.00165,NaN,NaN,NaN,B,3.021212121
358453,2007EH88,1.122688534,0.441190679,12.09113767,19.9,NaN,NaN,NaN,-0.005008,0.00166,NaN,NaN,NaN,A,3.01686747
162142,1998VR,0.875465525,0.317876263,21.80617545,18.7,NaN,0.462,0.172,0.000905,0.0003,8.44,NaN,5,A,3.016666667
162783,2000YJ11,1.312940921,0.231885347,7.26321217,20.7,NaN,NaN,NaN,-0.004751,0.00158,NaN,NaN,NaN,A,3.006962025
330659,2008GG2,1.587104522,0.27762265,13.01572901,22.9,NaN,NaN,NaN,0.002918,0.00098,NaN,NaN,NaN,A,2.97755102
348306,2005AY28,0.872363127,0.570166581,5.882331842,21.5,NaN,NaN,NaN,-0.006253,0.00211,NaN,NaN,NaN,A,2.963507109
85770,1998UP1,0.998098024,0.345187688,33.17889423,20.5,NaN,NaN,NaN,-0.001656,0.00056,NaN,NaN,NaN,A,2.957142857
162080,1998DG16,0.896673826,0.358173203,16.20746445,19.9,NaN,0.777,0.063,-0.001951,0.000661,NaN,NaN,NaN,B,2.951588502
162142,1998VR,0.875465525,0.317876263,21.80617545,18.7,NaN,0.462,0.172,0.000888,0.000302,8.44,NaN,5,B,2.940397351
85770,1998UP1,0.998098024,0.345187688,33.17889423,20.5,NaN,NaN,NaN,-0.001677,0.000571,NaN,NaN,NaN,B,2.936952715
85990,1999JV6,1.008213935,0.311095599,5.359217734,20.2,NaN,0.451,0.026,-0.00114,0.00039,6.538,NaN,8,A,2.923076923
NaN,1999SK10,1.764058112,0.441791998,6.960353005,19.7,NaN,0.388834347,NaN,-0.001771816,0.00060782,NaN,NaN,NaN,D,2.91503268
413260,2003TL4,0.77668951,0.381407797,12.18692073,19.4,NaN,NaN,NaN,-0.002094,0.00072,27.2,NaN,7,A,2.908333333
101955,Bennu,1.126391026,0.203745108,6.034939534,20.19,0.06,0.492,0.02,-0.001217,0.00042,4.2968,NaN,8,A,2.897619048
85770,1998UP1,0.998098024,0.345187688,33.17889423,20.5,NaN,NaN,NaN,-0.00232112,0.000801052,NaN,NaN,NaN,D,2.897590361
253062,2002TC70,1.368525806,0.19645119,2.147494344,21,NaN,NaN,NaN,-0.002723,0.00094,26.273,NaN,5,A,2.896808511
0,2002LY1,0.955446766,0.378573002,2.894486551,22.3,NaN,NaN,NaN,-0.008431,0.00293,3.204,NaN,7,B,2.877474403
242191,2003NZ6,0.793417843,0.492349529,18.24408645,19,NaN,0.37,0.031,0.002407,0.000837,13.531,NaN,8,B,2.875746714
474163,1999SO5,1.085983525,0.065198774,13.36488476,20.9,NaN,NaN,NaN,-0.003269,0.001137,1.38,NaN,8,B,2.875109938
6456,Golombek,2.192896066,0.409329638,8.225273048,15.9,NaN,NaN,NaN,-0.001408,0.00049,2.50129,NaN,8,A,2.873469388
215588,2003HF2,1.113852743,0.67539531,3.055259379,19.4,NaN,0.488,0.158,-0.005853,0.002043,NaN,NaN,NaN,B,2.864904552
162181,1999LF6,1.409578116,0.280486694,18.94174593,18.2,NaN,0.729,0.019,-0.00087,0.000305,37.26,NaN,6,B,2.852459016
54509,YORP,1.00004188,0.229915281,1.833144652,22.7,NaN,NaN,NaN,-0.003918568,0.001380914,0.2029,NaN,8,D,2.837662337
164207,2004GU9,1.001377997,0.136034177,13.65043548,21.1,NaN,0.163,0.008,-0.003024,0.001074,NaN,NaN,NaN,B,2.815642458
242191,2003NZ6,0.793417843,0.492349529,18.24408645,19,NaN,0.37,0.031,0.002364,0.00084,13.531,NaN,8,A,2.814285714
0,2001QC34,1.128615998,0.187694547,6.236460905,20.1,NaN,NaN,NaN,-0.003061,0.001091,NaN,NaN,NaN,B,2.80568286
283457,2001MQ3,2.232131219,0.45627698,5.587193923,19,NaN,NaN,NaN,-0.00138,0.000493,NaN,NaN,NaN,B,2.799188641
31221,1998BP26,1.723132973,0.257018463,20.22066397,17.2,NaN,NaN,NaN,-0.001706,0.00061,2.407,NaN,7,A,2.796721311
396593,2001HC,0.874590887,0.499347474,23.73709959,19,NaN,NaN,NaN,0.001386,0.0005,3.1881,NaN,8,A,2.772
164207,2004GU9,1.001377997,0.136034177,13.65043548,21.1,NaN,0.163,0.008,-0.003171,0.00115,NaN,NaN,NaN,A,2.757391304
0,2007PB8,0.880441417,0.44515435,16.55976889,20.9,NaN,NaN,NaN,-0.009077,0.003301,NaN,NaN,NaN,B,2.749772796
398188,Agni,0.864331206,0.273453965,13.2491076,19.4,NaN,0.462,0.006,-0.002874,0.00106,21.99,NaN,5,A,2.711320755
137125,1999CT3,1.426780971,0.131875129,34.23635275,18.7,NaN,NaN,NaN,-0.005644,0.00209,NaN,NaN,NaN,A,2.700478469
230111,2001BE10,0.823108105,0.369199296,17.50733465,19.1,NaN,NaN,NaN,-0.001561,0.000581,4.194,NaN,8,B,2.686746988
334412,2002EZ2,1.249178614,0.045991917,13.02436274,20.2,NaN,NaN,NaN,-0.001902,0.00071,NaN,NaN,NaN,A,2.678873239
412976,1987WC,1.362269935,0.233861332,15.8447325,19.8,NaN,NaN,NaN,0.003295,0.00123,NaN,NaN,NaN,A,2.678861789
0,1999SK10,1.764058112,0.441791998,6.960353016,19.7,NaN,NaN,NaN,-0.001821,0.000685,NaN,NaN,NaN,B,2.658394161
338292,2002UA31,0.798774305,0.487100765,30.70385158,19,NaN,NaN,NaN,-0.002229,0.00084,NaN,NaN,NaN,B,2.653571429
192563,1998WZ6,1.452173519,0.407792729,24.75523032,17.3,NaN,NaN,NaN,-0.002006,0.00076,NaN,NaN,NaN,A,2.639473684
136818,Selqet,0.937513408,0.346365049,12.77858389,18.9,NaN,NaN,NaN,0.00084,0.00032,NaN,NaN,NaN,A,2.625
334412,2002EZ2,1.249178614,0.045991917,13.02436274,20.2,NaN,NaN,NaN,-0.004546,0.001742,NaN,NaN,NaN,B,2.609644087
376879,2001WW1,1.210251628,0.121778268,21.74072514,22.2,NaN,NaN,NaN,-0.002737,0.00105,NaN,NaN,NaN,A,2.606666667
152754,1999GS6,1.191198208,0.497493565,2.020520279,19.1,NaN,0.414,0.077,-0.001114,0.00043,8.021,NaN,5,A,2.590697674
136993,1998ST49,2.308493345,0.59524774,24.48193391,17.7,NaN,NaN,NaN,0.002608,0.00101,2.3017,NaN,8,A,2.582178218
4581,Asclepius,1.022636912,0.357052277,4.917322687,20.7,NaN,NaN,NaN,-0.002991,0.00116,8.008,NaN,8,A,2.578448276
376879,2001WW1,1.210251628,0.121778268,21.74072514,22.2,NaN,NaN,NaN,-0.002503,0.000973,NaN,NaN,NaN,B,2.572456321
162080,1998DG16,0.896673826,0.358173203,16.20746445,19.9,NaN,0.777,0.063,-0.001826,0.00071,NaN,NaN,NaN,A,2.571830986
416151,2002RQ25,1.111672405,0.306357543,4.576223691,20.7,NaN,NaN,NaN,0.002449,0.000962,12.191,NaN,6,B,2.545738046
137084,1998XS16,1.212305446,0.496623874,26.5567416,16.4,NaN,1.228,0.035,-0.001779,0.0007,5.419,NaN,8,A,2.541428571
99942,Apophis,0.922438302,0.191195305,3.33136952,19.7,0.4,0.34,0.04,-0.002565401,0.001009639,30.56,NaN,8,D,2.54090909
267940,2004EM20,1.105421265,0.524043589,14.13723185,20.3,NaN,NaN,NaN,-0.002561,0.00101,2.419,NaN,3,A,2.535643564
3908,Nyx,1.927872799,0.458993586,2.185572808,17.3,NaN,1,0.15,0.000659,0.00026,4.42601,NaN,8,A,2.534615385
503941,2003UV11,1.453425579,0.762899417,5.92435159,19.5,NaN,0.26,0.003,0.000562,0.000222,18.25,NaN,7,B,2.531531532
471240,2011BT15,1.292908747,0.302464377,1.661416538,21.7,NaN,NaN,NaN,-0.008055,0.003185,0.109138,NaN,8,B,2.529042386
410777,2009FD,1.163844623,0.493030735,3.127749306,22.1,NaN,0.472,NaN,0.003818,0.00151,4,NaN,5,A,2.528476821
0,1994CJ1,1.490422858,0.325430327,2.307350044,21.4,NaN,NaN,NaN,-0.005387,0.002145,30,NaN,5,B,2.511421911
230111,2001BE10,0.823108105,0.369199296,17.50733465,19.1,NaN,NaN,NaN,-0.001376,0.00055,4.194,NaN,8,A,2.501818182
54509,YORP,1.00004188,0.229915281,1.833144652,22.7,NaN,NaN,NaN,-0.003345,0.00134,0.2029,NaN,8,B,2.496268657
523934,1998FF14,1.253378772,0.312418272,38.68975887,20.6,NaN,NaN,NaN,-0.001772,0.00071,NaN,NaN,NaN,A,2.495774648
5131,1990BG,1.486128269,0.569153934,36.43079053,14.8,NaN,NaN,NaN,-0.001621,0.00065,37.2,NaN,4,A,2.493846154
65690,1991DG,1.427857347,0.363247427,11.14295271,19,NaN,NaN,NaN,-0.003245,0.00131,7.1125,NaN,8,A,2.477099237
437846,1999RJ27,1.478870002,0.352336386,25.77877054,19.3,NaN,NaN,NaN,-0.006034,0.00244,NaN,NaN,NaN,A,2.47295082
474163,1999SO5,1.085983525,0.065198774,13.36488476,20.9,NaN,NaN,NaN,-0.002784,0.00113,1.38,NaN,8,A,2.463716814
217628,Lugh,2.551430359,0.705030147,4.039078197,16.6,NaN,1.4,NaN,-0.009709,0.004,8.55,NaN,2,A,2.42725
364136,2006CJ,0.676533865,0.754882522,10.23224315,20.2,NaN,NaN,NaN,-0.002497,0.00103,NaN,NaN,NaN,A,2.424271845
162463,2000JH5,1.145652704,0.238200634,22.21562101,17.7,NaN,1.048,0.079,-0.002809,0.00116,3.024,NaN,5,A,2.421551724
483459,2002EM6,1.15974331,0.14133459,31.75869306,20.2,NaN,NaN,NaN,0.001842,0.00077,NaN,NaN,NaN,A,2.392207792
162173,Ryugu,1.189679559,0.190301168,5.881928034,19.3,NaN,NaN,NaN,-0.001599,0.00067,7.627,NaN,5,A,2.386567164
4179,Toutatis,2.545398025,0.624248642,0.44794907,15.2,NaN,5.4,NaN,-0.000952,0.0004,176,NaN,8,A,2.38
NaN,2011WN15,1.216806241,0.857983688,33.4502704,19.7,NaN,0.388834347,NaN,0.00297631,0.001251801,1.948,NaN,NaN,D,2.377622379
2101,Adonis,1.874841298,0.763996941,1.32247218,18.8,NaN,0.6,NaN,-0.002543,0.00107,NaN,NaN,NaN,A,2.376635514
338292,2002UA31,0.798774305,0.487100765,30.70385158,19,NaN,NaN,NaN,-0.001897,0.0008,NaN,NaN,NaN,A,2.37125
232691,2004AR1,1.576016198,0.469444253,9.077384445,19.8,NaN,NaN,NaN,-0.003491,0.00148,NaN,NaN,NaN,A,2.358783784
175706,1996FG3,1.053809166,0.34971208,1.99121027,18.4,NaN,1.196,0.362,-0.001313,0.00056,3.5942,NaN,8,A,2.344642857
252558,2001WT1,1.089212044,0.397150002,7.163965699,20.2,NaN,0.533,0.028,-0.003423,0.00146,NaN,NaN,NaN,A,2.344520548
469737,2005NW44,0.779295296,0.483326727,6.073320646,20.4,NaN,NaN,NaN,0.001534,0.00066,31.5,NaN,5,A,2.324242424
446924,2002VV17,0.83749743,0.436562255,9.69906353,20.2,NaN,NaN,NaN,-0.0016,0.00069,NaN,NaN,NaN,A,2.31884058
162082,1998HL1,1.246298027,0.187044121,20.05199631,19.1,NaN,NaN,NaN,-0.001244,0.00054,11.7864,NaN,8,A,2.303703704
5011,Ptah,1.636361894,0.500077456,7.405384899,16.4,NaN,NaN,NaN,-0.001472,0.00064,56.3,NaN,5,A,2.3
450300,2004QD14,0.941698603,0.337847261,6.24818793,20.5,NaN,NaN,NaN,-0.005901,0.00262,NaN,NaN,NaN,A,2.252290076
11500,Tomaiyowit,1.079768039,0.355779589,10.30870903,18.3,NaN,0.738,0.006,-0.000518,0.00023,73,NaN,8,A,2.252173913
10563,Izhdubar,1.006885714,0.266297481,63.46245398,16.8,NaN,NaN,NaN,0.001709,0.00077,NaN,NaN,8,A,2.219480519
326683,2002WP,1.450092553,0.216012827,19.15121656,18.4,NaN,0.518,0.083,0.001198,0.00054,6.262,NaN,8,A,2.218518519
139622,2001QQ142,1.422656596,0.31110514,9.316667251,18.3,NaN,NaN,NaN,-0.003192,0.00144,NaN,NaN,NaN,A,2.216666667
461852,2006GY2,1.858057903,0.496066393,30.56076014,18.8,NaN,NaN,NaN,-0.037026,0.01692,2.25,NaN,4,A,2.188297872
401885,2001RV17,0.914519335,0.342399989,7.524326602,20.5,NaN,NaN,NaN,-0.001909,0.00088,NaN,NaN,NaN,A,2.169318182
337248,2000RH60,0.825885634,0.551304825,19.64692567,20.1,NaN,0.846,0.078,-0.001745,0.00081,25.2,NaN,5,A,2.154320988
455146,1993FS,2.226691309,0.424767162,10.11180244,19.6,NaN,NaN,NaN,0.003847,0.00179,NaN,NaN,NaN,A,2.149162011
14402,1991DB,1.714934363,0.401733531,11.41654218,18.7,NaN,0.6,NaN,-0.000665,0.00031,2.261,NaN,7,A,2.14516129
138911,2001AE2,1.349599398,0.081542103,1.661600165,19.2,NaN,NaN,NaN,-0.00123,0.00058,15.88,NaN,5,A,2.120689655
461353,1999LS7,1.010140623,0.30078844,13.05233103,20.8,NaN,NaN,NaN,-0.004853,0.00229,NaN,NaN,NaN,A,2.119213974
41429,2000GE2,1.592643525,0.555497947,2.173379385,20.5,NaN,0.204,0.03,-0.003129,0.00149,NaN,NaN,NaN,A,2.1
247517,2002QY6,0.81694838,0.699104528,12.75478248,19.7,NaN,0.269,0.005,-0.002572,0.00123,NaN,NaN,NaN,A,2.091056911
1865,Cerberus,1.079993933,0.466853121,16.09595512,16.7,NaN,1.2,NaN,-0.000375,0.00018,6.8039,NaN,8,A,2.083333333
513312,2007DM41,1.181278792,0.52771875,2.26455094,22,NaN,NaN,NaN,0.003966,0.00191,NaN,NaN,NaN,A,2.076439791
244670,2003KN18,1.748481391,0.486297337,11.90270618,18.3,NaN,NaN,NaN,0.003467,0.00168,20.887,NaN,7,A,2.063690476
326302,1998VN,1.386989638,0.34496779,12.03501587,20.5,NaN,NaN,NaN,-0.003848,0.00189,NaN,NaN,NaN,A,2.035978836
1916,Boreas,2.27308656,0.449641167,12.88010266,14.8,NaN,3.5,NaN,-0.000486,0.00024,3.4746,NaN,8,A,2.025
87684,2000SY2,0.858667554,0.642689756,19.22615795,16.1,NaN,NaN,NaN,-0.001435,0.00071,2.5712,NaN,5,A,2.021126761
339714,2005ST1,1.451166708,0.371126052,20.22876052,20.3,NaN,NaN,NaN,-0.000784,0.00039,8.68,NaN,4,A,2.01025641
307070,2002AV31,1.309659731,0.249265638,14.97679426,20.6,NaN,0.282,0.095,-0.002167,0.00109,NaN,NaN,NaN,A,1.988073394
337084,1998SE36,1.341379368,0.099156555,11.6755835,19.7,NaN,NaN,NaN,-0.002697,0.00136,11.855,NaN,8,A,1.983088235
415711,1998WT7,1.15190794,0.109998144,40.70014784,19,NaN,0.346,0.091,0.003571,0.00183,NaN,NaN,NaN,A,1.95136612
88959,2001TZ44,1.72363081,0.563825656,53.82266063,17.3,NaN,NaN,NaN,-0.002945,0.00151,6.73,NaN,6,A,1.950331126
163000,2001SW169,1.248377254,0.051469718,3.553914939,19.2,NaN,NaN,NaN,-0.000826,0.00043,69.97,NaN,7,A,1.920930233
153201,2000WO107,0.911517596,0.780703741,7.77028381,19.3,NaN,0.51,0.083,-0.002437,0.00127,NaN,NaN,NaN,A,1.918897638
526798,2007AA9,0.85820388,0.420445665,6.793129119,22.4,NaN,NaN,NaN,-0.006886,0.00359,NaN,NaN,NaN,A,1.91810585
2201,Oljato,2.174083938,0.712885503,2.522425042,15.3,NaN,1.8,0.1,0.001628,0.00085,26,NaN,4,A,1.915294118
1864,Daedalus,1.460916421,0.614470147,22.21196022,14.7,NaN,3.7,NaN,-0.001129,0.00059,8.572,NaN,8,A,1.913559322
495829,1995LG,1.064619587,0.790699392,43.58062443,18.7,NaN,NaN,NaN,0.001013,0.00053,NaN,NaN,NaN,A,1.911320755
85989,1999JD6,0.883147753,0.63284334,17.0613464,17.1,NaN,1.462,0.021,-0.000697,0.00037,7.6638,NaN,8,A,1.883783784
467336,2002LT38,0.845155683,0.313749654,6.195815914,20.5,NaN,NaN,NaN,0.001166,0.00062,21.8,NaN,6,A,1.880645161
141531,2002GB,0.992069188,0.528936398,22.55137624,19,NaN,0.303,0.014,0.00235,0.00125,73,NaN,4,A,1.88
385186,1994AW1,1.105238438,0.07576828,24.09726799,17.6,NaN,0.811,0.021,0.000674403,0.000360765,2.5193,NaN,8,D,1.869369369
18736,1998NU,2.353526787,0.488703924,2.807239328,15.9,NaN,NaN,NaN,-0.001542,0.00083,2.4753,NaN,8,A,1.857831325
162173,Ryugu,1.189679559,0.190301168,5.881928034,19.3,NaN,NaN,NaN,-0.000888722,0.000480718,7.627,NaN,5,D,1.848739496
6239,Minos,1.151399147,0.41264416,3.942233681,18.5,NaN,NaN,NaN,0.000679,0.00037,3.5558,NaN,8,A,1.835135135
190758,2001QH96,1.749166591,0.364541082,13.95286203,18.4,NaN,NaN,NaN,0.004952,0.00271,NaN,NaN,NaN,A,1.827306273
88254,2001FM129,1.182372421,0.629473977,1.522251766,17.7,NaN,0.8,0.012,-0.001055,0.00058,38.56,NaN,5,A,1.818965517
203471,2002AU4,0.855431312,0.373575213,17.18557333,19.4,NaN,NaN,NaN,-0.001361,0.00075,13.26,NaN,7,A,1.814666667
99942,Apophis,0.922438302,0.191195305,3.33136952,19.7,0.4,0.34,0.04,-0.00245,0.001358,30.56,NaN,8,B,1.804123711
66391,Moshup,0.642337833,0.688435169,38.88566921,16.6,NaN,1.317,0.04,-0.000523,0.00029,2.765,NaN,8,A,1.803448276
474574,2004FG1,1.751298273,0.284998006,24.1759042,19.4,NaN,NaN,NaN,-0.003277,0.00185,NaN,NaN,NaN,A,1.771351351
162882,2001FD58,1.092300466,0.575153588,6.497241251,18.7,NaN,NaN,NaN,-0.00145,0.00082,NaN,NaN,NaN,A,1.768292683
2202,Pele,2.290252276,0.51269789,8.742264561,17.1,NaN,NaN,NaN,0.002507,0.00143,NaN,NaN,NaN,A,1.753146853
161999,1989RC,2.314957447,0.512797387,7.374294795,18.7,NaN,0.458,0.023,-0.00382,0.00218,NaN,NaN,NaN,A,1.752293578
516435,2004FJ29,0.913258954,0.349112851,33.43944851,21.3,NaN,NaN,NaN,-0.001593,0.00092,NaN,NaN,NaN,A,1.731521739
452389,2002NW16,1.10879516,0.030351871,14.16476422,18.1,NaN,0.846,0.009,-0.000933,0.00054,46.7,NaN,5,A,1.727777778
163081,2002AG29,1.086683572,0.203262965,11.49979547,18.5,NaN,NaN,NaN,0.00136,0.00079,19.64,NaN,7,A,1.721518987
NaN,2004BG41,2.508019972,0.610230363,2.980520274,24.4,NaN,NaN,NaN,-0.005125,0.003,NaN,NaN,NaN,A,1.708333333
215442,2002MQ3,0.913708177,0.274324017,36.28616476,18.5,NaN,1.075,0.016,-0.002047,0.0012,473,NaN,8,A,1.705833333
4769,Castalia,1.063147864,0.483232308,8.885519032,16.9,NaN,1.4,NaN,-0.00051,0.0003,4.095,NaN,8,A,1.7
11885,Summanus,1.703268931,0.474902213,19.41789684,18.5,NaN,1.298,0.446,-0.001782,0.00105,7.368,NaN,8,A,1.697142857
230549,2003BH,1.456359376,0.356117742,13.11454956,20.5,NaN,0.217,0.004,0.002548,0.00151,NaN,NaN,NaN,A,1.687417219
162162,1999DB7,1.205803963,0.194761176,10.84081223,19.8,NaN,NaN,NaN,0.001895,0.00113,NaN,NaN,NaN,A,1.67699115
363027,1998ST27,0.819367514,0.529985078,21.05470616,19.5,NaN,0.578,0.228,0.001492,0.00089,3,NaN,5,A,1.676404494
418849,2008WM64,1.005386557,0.106462443,33.52701774,20.6,NaN,NaN,NaN,-0.002142,0.00128,2.4055,NaN,8,A,1.6734375
497113,2004EK1,1.249792456,0.250858857,11.64276046,22.2,NaN,NaN,NaN,-0.001704,0.00103,NaN,NaN,NaN,A,1.654368932
137924,2000BD19,0.876441657,0.895001984,25.7321734,17.2,NaN,0.97,0.039,-0.00221,0.00135,10.57,NaN,7,A,1.637037037
240320,2003HS42,1.45895989,0.121293568,15.82309033,20.1,NaN,NaN,NaN,0.003187,0.00196,NaN,NaN,NaN,A,1.626020408
NaN,2015TC25,1.029234076,0.11768627,3.638256085,29.3,NaN,0.004674817,NaN,-0.194828027,0.121396113,0.03715,NaN,NaN,D,1.604895106
4197,Morpheus,2.295124784,0.772419302,12.5941045,14.9,NaN,1.8,NaN,0.001281,0.0008,3.538,NaN,8,A,1.60125
351545,2005TE15,1.204272697,0.34362463,13.12871914,19.7,NaN,NaN,NaN,-0.002673,0.00167,NaN,NaN,NaN,A,1.600598802
469445,2002LT24,0.720075601,0.495822884,0.763423589,22.1,NaN,0.143,0.024,-0.002965,0.00186,NaN,NaN,NaN,A,1.594086022
190491,2000FJ10,1.319289576,0.23454567,5.281345304,20.9,NaN,NaN,NaN,-0.002602,0.00167,2.46,NaN,4,A,1.558083832
NaN,2004SC56,0.767613773,0.428426335,4.781466672,22.7,NaN,0.291,0.042,-0.004291,0.00278,NaN,NaN,NaN,A,1.54352518
433953,1997XR2,1.076194174,0.200866322,7.192041993,20.7,NaN,0.259,0.086,0.001481,0.00097,9.3205,NaN,8,A,1.526804124
7482,1994PC1,1.346161268,0.328304587,33.48902941,16.5,NaN,1.052,0.303,0.001275,0.00084,2.5999,NaN,8,A,1.517857143
3362,Khufu,0.989524068,0.468478623,9.916906008,18.3,NaN,0.7,NaN,-0.001787,0.00118,NaN,NaN,NaN,A,1.51440678
3753,Cruithne,0.997697006,0.514844172,19.80628092,15.6,NaN,2.071,0.106,-0.000514,0.00034,27.3099,NaN,7,A,1.511764706
276770,2004HC,0.789165485,0.598656868,28.98091463,19.9,NaN,NaN,NaN,-0.003811,0.00253,NaN,NaN,NaN,A,1.506324111
488789,2004XK50,1.451277602,0.688673761,38.2162289,19.3,NaN,1.039,0.077,0.005604,0.00373,NaN,NaN,NaN,A,1.502412869
455184,2000ED14,0.83498733,0.566655017,13.77819027,20.8,NaN,NaN,NaN,0.002929,0.00195,NaN,NaN,NaN,A,1.502051282
369986,1998SO,0.731531633,0.698552003,30.34228866,20.6,NaN,NaN,NaN,0.001229,0.00082,NaN,NaN,NaN,A,1.498780488
488453,1994XD,2.346743987,0.73380251,4.310618873,19.1,NaN,NaN,NaN,0.004169,0.0028,2.7365,NaN,7,A,1.488928571
276033,2002AJ129,1.370451864,0.914932461,15.45655918,18.7,NaN,NaN,NaN,0.002184,0.00147,3.9223,NaN,6,A,1.485714286
5693,1993EA,1.2709458,0.585148437,5.054676357,16.7,NaN,NaN,NaN,-0.000635,0.00043,2.496,NaN,5,A,1.476744186
385186,1994AW1,1.105238438,0.07576828,24.09726799,17.6,NaN,0.811,0.021,0.000406,0.00028,2.5193,NaN,8,A,1.45
249886,2001RY11,1.483183563,0.283321146,22.84630824,17.4,NaN,1.201,0.04,0.003139,0.00217,NaN,NaN,NaN,A,1.446543779
164202,2004EW,0.988185614,0.279124113,4.669508025,20.8,NaN,NaN,NaN,0.00187,0.0013,11.1,NaN,4,A,1.438461538
11398,1998YP11,1.72063349,0.388974219,15.02583958,16.3,NaN,1.316,0.349,-0.000517,0.00036,38.6,NaN,8,A,1.436111111
7822,1991CS,1.122920698,0.164646301,37.12099026,17.4,NaN,1.602,0.012,0.000803,0.00056,2.3896,NaN,8,A,1.433928571
11405,1999CV3,1.459582058,0.393807827,22.86335306,15.2,NaN,3.621,0.063,0.000754,0.00053,6.504,NaN,8,A,1.422641509
7888,1993UC,2.435467688,0.66414746,26.08460992,15.1,NaN,2.298,0.733,-0.003771,0.00266,2.337,NaN,6,A,1.417669173
3551,Verenia,2.092937415,0.48684956,9.507094978,16.6,NaN,0.9,NaN,-0.001311,0.00094,4.93,NaN,5,A,1.394680851
52387,Huitzilopochtli,1.282102729,0.189725175,24.15440373,17.7,NaN,0.89,0.304,-0.002251,0.00164,26,NaN,5,A,1.372560976
65733,1993PC,1.153782033,0.47419629,4.151040335,18.3,NaN,NaN,NaN,-0.000671,0.00049,4.185,NaN,8,A,1.369387755
443837,2000TJ1,1.160532654,0.080916248,39.53764768,19.5,NaN,0.253,0.04,-0.000971,0.00071,14.09,NaN,7,A,1.367605634
1620,Geographos,1.245666864,0.335454802,13.33704335,15.3,NaN,2.56,0.15,-6.80E-05,5.00E-05,5.22204,NaN,8,A,1.36
5869,Tanith,1.811988486,0.321468889,17.9233726,17.2,NaN,NaN,NaN,-0.001922,0.00145,17.519,NaN,8,A,1.325517241
513126,1998QP,1.785701698,0.582279875,9.352973084,21.2,NaN,NaN,NaN,-0.003842,0.00291,NaN,NaN,NaN,A,1.320274914
163348,2002NN4,0.876394332,0.434526026,5.417650525,20.1,NaN,0.735,0.243,0.00132,0.00101,14.5,NaN,7,A,1.306930693
5189,1990UQ,1.552401313,0.47834142,3.578357292,17.8,NaN,NaN,NaN,-0.001222,0.00094,6.653,NaN,8,A,1.3
416151,2002RQ25,1.111672405,0.306357543,4.576223691,20.7,NaN,NaN,NaN,0.001672,0.00129,12.191,NaN,6,A,1.296124031
152742,1998XE12,0.878224886,0.739157446,13.4350068,19.1,NaN,0.413,0.005,0.001411,0.00109,NaN,NaN,NaN,A,1.294495413
4688,1980WF,2.23264832,0.517413852,6.373201208,19.4,NaN,0.6,NaN,-0.0007,0.00055,NaN,NaN,NaN,A,1.272727273
455594,2004SV55,1.759187056,0.658313977,41.16992655,17.9,NaN,1.625,0.15,-0.001189,0.00094,NaN,NaN,NaN,A,1.264893617
363116,2001GQ2,1.214380698,0.503112763,21.82173826,20.1,NaN,NaN,NaN,-0.001029,0.00082,NaN,NaN,NaN,A,1.254878049
15745,Yuliya,1.719662308,0.255181094,14.42831299,17.3,NaN,NaN,NaN,-0.0006,0.00048,3.2486,NaN,8,A,1.25
68950,2002QF15,1.057087495,0.34432862,25.15222553,16.4,NaN,1.65,0.555,-0.000618,0.0005,45.24,NaN,5,A,1.236
