"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT"
2416151,"416151 (2002 RQ25)",416151,,,Y,N,20.65,,,,,,,,,,12.191,,,,,,,,,"JPL 87",2459600.5,59600,20220121.0000000,J2000,.3063207056048661,1.111741316174196,.7711919317536337,4.576295052544309,10.49881626210498,225.7028984389945,273.7870212332832,1.452290700594758,.8408111362087377,2459703.035486334607,20220503.5354863,428.1579828060546,1.17223267024245,.050231,19.54839827,3.54697,5.558,2.9357E-8,2.8539E-9,3.2302E-8,2.5732E-6,2.8083E-5,2.7518E-5,5.3075E-6,3.7282E-9,3.2377E-9,6.6813E-6,1.6487E-6,APO,"Otto Matic",7132,2002-09-03,2022-03-14,279,5,1,0,.47468,,,5.966997326527638E-14,,
2417210,"417210 (2005 XV77)",417210,,,Y,N,20.54,,,,,,,,,,,,,,,,,,,"JPL 63",2459600.5,59600,20220121.0000000,J2000,.4142394016945101,.7842172188518924,.4593635473161518,16.84847129553841,282.2475128408952,9.270084893032712,193.567955357239,1.109070890387633,1.419219315519872,2459717.770137760065,20220518.2701378,253.6605837189644,0.694484828799355,.0965001,37.554943917,4.06187,7.311,1.2592E-7,4.5576E-9,1.0052E-7,1.5585E-5,6.9151E-6,1.804E-5,3.3802E-5,6.4455E-9,1.2372E-8,2.3946E-5,2.2113E-6,ATE,"Otto Matic",5909,2005-12-10,2022-02-13,352,,,0,.54861,,,-2.855435012697834E-14,,
2422686,"422686 (2000 AC6)",422686,,,Y,Y,21.49,,,,,,,0.176,,0.143,2.4437,,,,,Q,,,0.005,"JPL 68",2459600.5,59600,20220121.0000000,J2000,.28642822189409,.8536570550718298,.6091455826802604,4.699622150903491,101.37200253,188.084722570116,165.4062695163015,1.098168527463399,1.249622749627153,2459468.135036601524,20210910.6350366,288.0869447258482,0.788739068380146,.0462413,17.995726721,4.03467,6.869,4.1353E-8,3.4231E-9,3.6787E-8,4.2876E-6,2.7283E-5,3.8149E-5,2.6056E-5,4.4036E-9,7.5163E-9,2.0555E-5,1.7328E-6,ATE,"Otto Matic",8040,2000-01-04,2022-01-08,305,,,0,.4236,,,4.136777868110656E-14,,
2424392,"424392 (2007 YJ)",424392,,,Y,N,22.13,,,,,,,0.239,,0.054,,,,,,,,,0.077,"JPL 48",2459600.5,59600,20220121.0000000,J2000,.2800048727513632,1.103875473346081,.7947849618984612,3.305342599273616,29.10793282411682,199.0088039334889,288.9286567415326,1.412965984793702,.8498141299925578,2459684.131632789031,20220414.6316328,423.622045450283,1.15981395058257,.0512029,19.926632593,3.56712,5.597,9.2171E-8,7.4382E-9,1.0329E-7,2.9306E-6,.00010959,.00010778,1.1272E-5,9.5209E-9,8.5894E-9,1.283E-5,4.2817E-6,APO,"Otto Matic",5170,2007-12-16,2022-02-10,174,,,0,.5826,,,-1.637040854972032E-13,,
2425755,"425755 (2011 CP4)",425755,,,Y,Y,21.2,,,,,,,,,,,,,,,,,,,63,2459600.5,59600,20220121.0000000,J2000,.8703079196485459,.9116573969170428,.1182347443739626,9.464751494297383,147.9854876839794,159.9266369114483,94.05062843677511,1.705080049460123,1.132287163429634,2459517.437477104394,20211029.9374771,317.9405469100085,0.870473776618778,.0191425,7.449686725,3.59133,6.114,2.3636E-8,1.9526E-8,2.053E-8,8.8504E-6,9.1246E-6,1.0519E-5,.00011735,3.652E-8,3.6377E-8,.00010118,1.0215E-5,ATE,"Otto Matic",5869,2002-01-10,2018-02-04,145,4,7,0,.68652,,,5.32578894406747E-14,,
2437841,"437841 (1998 HD14)",437841,,,Y,Y,21.0,,,,,,,,,,,,,,,,,,,54,2459600.5,59600,20220121.0000000,J2000,.3125816425978737,.9631267087054555,.6620709800684204,7.814226896537448,183.7697503271294,260.9047034744268,131.7965356850345,1.264182437342491,1.042746964026386,2459474.106406700888,20210916.6064067,345.2419545868755,0.945220957116702,.0340621,13.255947457,3.94914,6.212,5.8423E-8,8.659E-9,5.7632E-8,3.7558E-6,5.7551E-5,4.1546E-5,4.5986E-5,1.1366E-8,1.4062E-8,4.3159E-5,4.6558E-6,ATE,"Otto Matic",7735,1998-04-25,2019-06-29,207,,,0,.45831,,,-4.791589957373768E-14,,
2437844,"437844 (1999 MN)",437844,,,Y,Y,21.15,,,,,,,,,,5.495,,,,,,,,,52,2459600.5,59600,20220121.0000000,J2000,.6653197639714052,.6739878990621986,.2255704291385533,2.035067018749478,81.40019705165201,9.20335757963884,133.8097446618749,1.122405368985844,1.781254297434129,2459525.378921075657,20211106.8789211,202.1047755610048,0.553332718852854,.00603176,2.3473800392,4.09216,8.257,6.7558E-8,7.3819E-9,4.647E-8,6.9288E-6,3.6012E-5,3.6929E-5,3.3804E-5,1.2293E-8,2.9264E-8,1.7812E-5,3.3203E-6,ATE,"Otto Matic",7688,1999-06-22,2020-07-09,159,,,0,.58515,,,3.446802610288323E-14,,
2441987,"441987 (2010 NY65)",441987,,,Y,Y,21.36,,,,,,,0.228,,0.071,4.9706,,,,,,,,0.012,"JPL 164",2459600.5,59600,20220121.0000000,J2000,.370366421746846,1.002676271010356,.6313186483457796,11.55380055162022,267.9575878366737,251.905731896456,274.7677553669112,1.374033893674932,.9816642338182814,2459687.324233477031,20220417.8242335,366.724168608796,1.00403605368596,.0170648,6.641108216,3.65056,5.988,2.3949E-8,2.1106E-10,2.3996E-8,2.8497E-6,1.461E-6,6.2317E-7,1.1837E-6,2.8923E-10,3.0996E-10,1.213E-6,1.1579E-7,APO,"Otto Matic",4021,2010-07-14,2021-07-17,911,14,3,0,.31402,,,-4.026519395061352E-14,-1.534334942059575E-13,
2446924,"446924 (2002 VV17)",446924,,,Y,N,20.14,,,,,,,,,,,,,,,,,,,"JPL 108",2459600.5,59600,20220121.0000000,J2000,.4365680708207198,.8375688177860504,.4719130148256034,9.699329778437663,222.1891957388562,348.8296020365109,249.7380136050001,1.203224620746497,1.285799709326888,2459686.253625230419,20220416.7536252,279.9813978714142,0.766547290544597,.0875458,34.070198986,3.75963,6.924,5.0662E-8,4.9761E-9,4.1654E-8,4.9008E-6,1.2035E-5,1.3454E-5,1.8819E-5,7.1485E-9,1.1459E-8,1.527E-5,2.4951E-6,ATE,"Otto Matic",10649,1992-10-02,2021-11-28,451,,,0,.40914,,,-2.971299926511002E-14,,
2452807,"452807 (2006 KV89)",452807,,,Y,Y,21.38,,,,,,,,,,,,,,,,,,,49,2459600.5,59600,20220121.0000000,J2000,.2728180616939726,1.149806128664113,.8361182493181188,3.554015820460103,71.70346645931063,87.79189024678348,300.3432376377562,1.463494008010106,.7994055242927502,2459675.126407435730,20220405.6264074,450.3346412554492,1.23294905203408,.0140346,5.461845282,3.51605,5.428,8.7128E-8,7.2793E-9,9.9963E-8,3.1531E-6,5.706E-5,5.7899E-5,2.454E-5,9.2653E-9,7.5915E-9,3.1121E-5,4.2765E-6,APO,"Otto Matic",5607,2006-05-28,2021-10-03,143,,,0,.49415,,,-8.864544716466887E-14,,
