Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
NaN,2009WB105,0.82549399,0.252519479,38.402435529,23.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006999,0.00046,15.22
185851,2000DP107,1.365328151,0.376645661,8.671243898,18.2,nan,0.863,0.043,2.775,nan,nan,291.0,80.0,31.0,-61.0,nan,nan,nan,nan,0.11,0.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.2e-05,0.00028,0.29,0.000407,2.7e-05,15.17
,1995CR,0.906941013,0.868434841,4.067017755,21.7,nan,nan,nan,2.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015588999999999999,0.004071,3.83,-0.008702,0.0006,14.5
NaN,2018CW2,0.762147216,0.421061513,4.952828202,25.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.032521,0.002278,14.28
85990,1999JV6,1.008213935,0.311095599,5.359217734,20.2,nan,0.451,0.026,6.538,nan,nan,144.0,-84.0,nan,nan,nan,nan,nan,nan,0.83,0.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001434,0.000103,13.92,-0.001666,0.000124,13.44
NaN,2009BD,1.009762523,0.041631181,0.384479452,28.1,nan,nan,nan,4.0,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.038169,0.00993,3.84,-0.047394,0.003459,13.7
138175,2000EE104,1.004212011,0.29314637,5.238250455,20.4,nan,nan,nan,nan,nan,13.324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0049369999999999995,0.000551,8.96,-0.004168,0.000308,13.55
612197,2000WP19,0.854572261,0.288287052,7.679265528,22.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009426,0.000699,13.49
NaN,2010GD35,0.763960571,0.481620976,7.789721087,24.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011636,0.000872,13.35
NaN,2016GW221,0.82667863,0.268235277,3.694316219,24.77,nan,nan,nan,0.286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006987,0.000559,12.5
NaN,2011CL50,0.883069875,0.146355309,0.19093773,27.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.201488,0.016384,12.3
,2001BB16,0.855331317,0.172203492,2.028426961,23.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016359000000000002,0.003496,4.68,0.015049,0.001225,12.28
480808,1994XL1,0.670894479,0.526255192,28.16729064,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003237,0.000312,10.38,-0.003427,0.000289,11.87
363027,1998ST27,0.819367514,0.529985078,21.05470616,19.5,nan,0.578,0.228,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001492,0.0008900000000000001,1.68,0.00103,9e-05,11.49
NaN,2014RQ17,1.767022537,0.44252838,3.664946166,22.3,nan,nan,nan,0.522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001685,0.000147,11.47
612600,2003SM84,1.125315658,0.081944658,2.795753805,23.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006736,0.0006,11.22
1566,Icarus,1.078168924,0.827021352,22.82210584,16.9,nan,1.0,nan,2.273,nan,nan,270.0,-81.0,nan,nan,nan,nan,nan,nan,0.05,0.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00044699999999999997,4e-05,11.18,-0.000395,9e-05,4.41
NaN,2006RH120,1.033180852,0.024500764,0.594728706,29.5,nan,nan,nan,0.046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.117628,0.190331,11.13
,2006TU7,0.850712737,0.470209895,2.920036123,21.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009851,0.001274,7.73,0.007138,0.000644,11.09
NaN,2007TF15,1.10851544,0.044412716,4.255366531,24.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009195,0.000844,10.9
399308,1993GD,1.102428706,0.238147763,15.46209034,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004464,0.0009599999999999999,4.65,0.003105,0.000287,10.82
613995,2008NP3,1.005006376,0.333958438,1.429513102,22.83,nan,0.193,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009435,0.000901,10.48
437844,1999MN,0.673829807,0.665483876,2.022138981,21.4,nan,nan,nan,5.495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.41,0.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004135,0.000395,10.47,0.003199,0.000316,10.11
66391,Moshup,0.642337833,0.688435169,38.88566921,16.6,nan,1.317,0.04,2.765,nan,nan,341.0,-56.0,nan,nan,nan,nan,nan,nan,0.11,0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000523,0.00029,1.8,-0.0005,4.9e-05,10.3
,2007TF68,1.406377033,0.265251449,26.20129939,22.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007090000000000001,0.0006900000000000001,10.28,-0.00667,0.001073,6.22
NaN,2019XS,1.004529151,0.326436967,4.447170109,23.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007922,0.000777,10.19
401885,2001RV17,0.914519335,0.342399989,7.524326602,20.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0019089999999999999,0.00088,2.17,-0.002368,0.000234,10.13
NaN,2015EG,0.862655488,0.35628191,2.493324194,25.6,nan,nan,nan,1.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.010625,0.001052,10.1
NaN,2000TU28,1.072631086,0.182849147,15.595303291,21.1,nan,nan,nan,128.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003587,0.000371,9.67
